for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	1	0.45	1.2068965517	0	14	4	-1.7490859474	0.7146589919	ring	0	3	triang	3	1	0	-999
0.25	1	0.5	1.1666666667	0	16	5	-1.6090656804	0.7768483383	ring	0	3	triang	3	1	0	-999
0.25	1	0.55	1.1290322581	0	17	6	-1.4834779727	0.8426144661	ring	0	3	triang	3	1	0	-999
0.25	1	0.6	1.09375	0	18	7	-1.3713112327	0.9115363239	ring	0	3	triang	3	1	0	-999
0.25	1	0.65	1.0606060606	0	20	8	-1.2712728672	0.9832664822	ring	0	3	triang	3	1	0	-999
0.25	1	0.7	1.0294117647	0	21	9	-1.1820146788	1.057516478	ring	0	3	triang	3	1	0	-999
0.25	1	0.75	1	0	23	10	-1.1022499483	1.1340440541	ring	0	3	triang	3	1	0	-999
0.25	1	0.8	0.9722222222	0	24	11	-1.0308062833	1.2126429769	ring	0	3	triang	3	1	0	-999
0.25	1	0.85	0.9459459459	0	26	12	-0.9666429124	1.293135225	ring	0	3	triang	3	1	0	-999
0.25	1	0.9	0.9210526316	0	28	13	-0.9088495876	1.3753650957	ring	0	3	triang	3	1	0	-999
0.25	1	0.95	0.8974358974	0	29	14	-0.8566368372	1.4591947785	ring	0	3	triang	3	1	0	-999
0.25	1	1	0.875	0	31	15	-0.8093228698	1.5445010226	ring	0	3	triang	3	1	0	-999
0.25	1	1.05	0.8536585366	0	33	16	-0.7663198809	1.6311726096	ring	0	3	triang	3	1	0	-999
0.25	1	1.1	0.8333333333	0	34	17	-0.7271210968	1.7191084201	ring	0	3	triang	3	1	0	-999
0.25	1	1.15	0.8139534884	0	36	18	-0.6912891178	1.8082159371	ring	0	3	triang	3	1	0	-999
0.25	1	1.2	0.7954545455	0	38	19	-0.6584457266	1.8984100731	ring	0	3	triang	3	1	0	-999
0.25	1	1.25	0.7777777778	0	40	20	-0.6282631236	1.9896122391	ring	0	3	triang	3	1	0	-999
0.25	1	1.25	1.2222222222	0	40	21	-0.6282631236	1.9896122391	ring	0	3	triang	3	1	0	-999
0.25	1	1.1	1.0714285714	1	34	22	-0.7271210968	1.7191084201	ring	0	3	triang	3	1	1	-999
0.25	1	1.1	1.0714285714	1	34	23	-0.7271210968	1.7191084201	ring	0	3	triang	3	1	1	-999
0.25	1	1.15	1.0465116279	1	36	24	-0.6912891178	1.8082159371	ring	0	3	triang	3	1	1	-999
0.25	1	1.2	1.0227272727	1	38	25	-0.6584457266	1.8984100731	ring	0	3	triang	3	1	1	-999
0.25	1	1.25	1	1	40	26	-0.6282631236	1.9896122391	ring	0	3	triang	3	1	1	-999
0.25	1	1.3	0.9782608696	1	42	27	-0.6004564636	2.0817495951	ring	0	3	triang	3	1	1	-999
0.25	1	1.35	0.9574468085	1	43	28	-0.574777537	2.1747544389	ring	0	3	triang	3	1	1	-999
0.25	1	1.4	0.9375	1	45	29	-0.551009434	2.2685636995	ring	0	3	triang	3	1	1	-999
0.25	1	0.45	1.2068965517	0	21	31	-1.1700251872	1.0683530694	chain	0	3	triang	3	1	0	-999
0.25	1	0.5	1.1666666667	0	24	32	-1.0389844184	1.203097927	chain	0	3	triang	3	1	0	-999
0.25	1	0.55	1.1290322581	0	27	33	-0.9268384414	1.3486708623	chain	0	3	triang	3	1	0	-999
0.25	1	0.6	1.09375	0	30	34	-0.8305512129	1.5050245916	chain	0	3	triang	3	1	0	-999
0.25	1	0.65	1.0606060606	0	33	35	-0.7475255012	1.6721837555	chain	0	3	triang	3	1	0	-999
0.25	1	0.7	1.0294117647	0	37	36	-0.6755933215	1.8502255132	chain	0	3	triang	3	1	0	-999
0.25	1	0.75	1	0	41	37	-0.6129657365	2.0392656973	chain	0	3	triang	3	1	0	-999
0.25	1	0.8	0.9722222222	0	45	38	-0.5581730163	2.2394489942	chain	0	3	triang	3	1	0	-999
0.25	1	0.85	0.9459459459	0	49	39	-0.5100079993	2.4509419495	chain	0	3	triang	3	1	0	-999
0.25	1	0.9	0.9210526316	0	53	40	-0.4674770711	2.6739279365	chain	0	3	triang	3	1	0	-999
0.25	1	0.95	0.8974358974	0	58	41	-0.4297595059	2.9086034932	chain	0	3	triang	3	1	0	-999
0.25	1	1	0.875	0	63	42	-0.396174461	3.1551756183	chain	0	3	triang	3	1	0	-999
0.25	1	1.05	0.8536585366	0	68	43	-0.366154468	3.4138597485	chain	0	3	triang	3	1	0	-999
0.25	1	1.1	0.8333333333	0	74	44	-0.339224236	3.6848782233	chain	0	3	triang	3	1	0	-999
0.25	1	1.15	0.8139534884	0	79	45	-0.3149837171	3.9684591045	chain	0	3	triang	3	1	0	-999
0.25	1	1.2	0.7954545455	0	85	46	-0.293094557	4.2648352563	chain	0	3	triang	3	1	0	-999
0.25	1	1.25	0.7777777778	0	91	47	-0.2732692231	4.5742436197	chain	0	3	triang	3	1	0	-999
