for N=3 oscillators in a 1D ring topology,,,,,,,,,,,,,,,,
coupling strength K  [Hz],filter_cutoff f_c  [Hz],delay [s],Omega [Hz],m-twist-state,Tsim ~= - 25 / Re(lambda),paramSet id,Re(\lambda),Zeitproxy 1. simulation [sek],topology,diff. const. c,# oscis,coupling function,Nx ,Ny,mx,my
K,Fc,delay,Fomeg,m,Tsim,id,ReLambda,SimSeconds,topology,c,N,couplingfct,Nx,Ny,mx,my
0.1,1,0.5,1.0833333333,0,1105,4,-0.0226296858,44,square-periodic,0,144,triang,12,12,0,0
0.2,1,0.5,1.1428571429,0,639,5,-0.0390979998,25,square-periodic,0,144,triang,12,12,0,0
0.3,1,0.5,1.1875,0,485,6,-0.0515657181,19,square-periodic,0,144,triang,12,12,0,0
0.4,1,0.5,1.2222222222,0,408,7,-0.0613082139,16,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.5,1.25,0,362,8,-0.0691188677,14,square-periodic,0,144,triang,12,12,0,0
0.6,1,0.5,1.2727272727,0,331,9,-0.0755140266,13,square-periodic,0,144,triang,12,12,0,0
0.7,1,0.5,1.2916666667,0,309,10,-0.0808429001,12,square-periodic,0,144,triang,12,12,0,0
0.8,1,0.5,1.3076923077,0,293,11,-0.0853495163,11,square-periodic,0,144,triang,12,12,0,0
0.9,1,0.5,1.3214285714,0,280,12,-0.0892092493,11,square-periodic,0,144,triang,12,12,0,0
1,1,0.5,0,0,428,13,-0.0583493152,17,square-periodic,0,144,triang,12,12,0,0
1,1,0.5,1.3333333333,0,428,14,-0.0583493152,17,square-periodic,0,144,triang,12,12,0,0
1.1,1,0.5,1.34375,0,8971,15,-0.0027866663,358,square-periodic,0,144,triang,12,12,0,0
0.5,0.1,0.5,1.25,0,1029,16,-0.0242985227,41,square-periodic,0,144,triang,12,12,0,0
0.5,0.3,0.5,1.25,0,357,17,-0.0700564735,14,square-periodic,0,144,triang,12,12,0,0
0.5,0.5,0.5,1.25,0,360,18,-0.0695145147,14,square-periodic,0,144,triang,12,12,0,0
0.5,0.7,0.5,1.25,0,361,19,-0.0692873258,14,square-periodic,0,144,triang,12,12,0,0
0.5,0.9,0.5,1.25,0,361,20,-0.0691623849,14,square-periodic,0,144,triang,12,12,0,0
0.5,1.1,0.5,1.25,0,362,21,-0.069083344,14,square-periodic,0,144,triang,12,12,0,0
0.5,1.3,0.5,1.25,0,362,22,-0.0690288341,14,square-periodic,0,144,triang,12,12,0,0
0.5,1.5,0.5,1.25,0,362,23,-0.0689889691,14,square-periodic,0,144,triang,12,12,0,0
0.5,1.7,0.5,1.25,0,363,24,-0.068958546,14,square-periodic,0,144,triang,12,12,0,0
0.5,1.9,0.5,1.25,0,363,25,-0.0689345655,14,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.35,1.4705882353,0,308,26,-0.0812186817,12,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.4,1.3888888889,0,326,27,-0.0767423822,13,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.45,1.3157894737,0,344,28,-0.0727320951,13,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.5,1.25,0,362,29,-0.0691188677,14,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.55,1.1904761905,0,380,30,-0.0658466735,15,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.6,1.1363636364,0,398,31,-0.0628695266,15,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.65,1.0869565217,0,416,32,-0.0601493342,16,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.7,1.0416666667,0,434,33,-0.0576542764,17,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.75,1,0,452,34,-0.0553575686,18,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.8,0.9615384615,0,470,35,-0.0532365052,18,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.85,0.9259259259,0,488,36,-0.0512717131,19,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.9,0.8928571429,0,506,37,-0.0494465625,20,square-periodic,0,144,triang,12,12,0,0
0.5,1,0.95,0.8620689655,0,524,38,-0.0477466991,20,square-periodic,0,144,triang,12,12,0,0
0.5,1,1,0.8333333333,0,542,39,-0.0461596681,21,square-periodic,0,144,triang,12,12,0,0
0.5,1,1.05,0.8064516129,0,560,40,-0.0446746103,22,square-periodic,0,144,triang,12,12,0,0
0.5,1,1.05,1.4516129032,0,560,41,-0.0446746103,22,square-periodic,0,144,triang,12,12,0,0
0.5,1,1.1,0.78125,0,578,42,-0.0432820152,23,square-periodic,0,144,triang,12,12,0,0
0.5,1,1.1,1.40625,0,578,43,-0.0432820152,23,square-periodic,0,144,triang,12,12,0,0
